experiment_label,laminate_id,defect_type,ply_with_defect_index,defect_width,ply_thickness,ply_width,applied_force,equivalent_stiffness,laminate_rigidity
Laminate_01_Defect_0_at_02_w_0.00,1,0,2,0.0,0.125,5,121.250812,4041.6937333333335,101.04234333333332
Laminate_01_Defect_0_at_02_w_0.20,1,0,2,0.2,0.125,5,121.129614,4037.6538,100.941345
Laminate_01_Defect_0_at_02_w_0.40,1,0,2,0.4,0.125,5,120.8791,4029.303333333333,100.73258333333334
Laminate_01_Defect_0_at_02_w_0.60,1,0,2,0.6000000000000001,0.125,5,120.45651,4015.217,100.380425
Laminate_01_Defect_0_at_02_w_0.80,1,0,2,0.8,0.125,5,119.842679,3994.755966666667,99.86889916666668
Laminate_01_Defect_0_at_02_w_1.00,1,0,2,1.0,0.125,5,119.01968,3967.3226666666665,99.18306666666666
Laminate_01_Defect_0_at_02_w_1.20,1,0,2,1.2000000000000002,0.125,5,117.965652,3932.188400000001,98.30471
Laminate_01_Defect_0_at_02_w_1.40,1,0,2,1.4,0.125,5,116.654846,3888.4948666666655,97.21237166666668
Laminate_01_Defect_0_at_02_w_1.60,1,0,2,1.6,0.125,5,115.054236,3835.1412,95.87853
Laminate_01_Defect_0_at_02_w_1.80,1,0,2,1.8,0.125,5,113.12206299999998,3770.735433333333,94.26838583333333
Laminate_01_Defect_0_at_02_w_2.00,1,0,2,2.0,0.125,5,110.803075,3693.435833333334,92.33589583333334
Laminate_01_Defect_0_at_02_w_2.20,1,0,2,2.2,0.125,5,108.015708,3600.5236000000004,90.01309
Laminate_01_Defect_0_at_03_w_0.00,1,0,3,0.0,0.125,5,121.250812,4041.6937333333335,101.04234333333332
Laminate_01_Defect_0_at_03_w_0.20,1,0,3,0.2,0.125,5,121.245971,4041.5323666666673,101.03830916666668
Laminate_01_Defect_0_at_03_w_0.40,1,0,3,0.4,0.125,5,121.25283,4041.761,101.044025
Laminate_01_Defect_0_at_03_w_0.60,1,0,3,0.6000000000000001,0.125,5,121.267896,4042.2632,101.05658
Laminate_01_Defect_0_at_03_w_0.80,1,0,3,0.8,0.125,5,121.290611,4043.020366666666,101.07550916666666
Laminate_01_Defect_0_at_03_w_1.00,1,0,3,1.0,0.125,5,121.321156,4044.038533333333,101.10096333333334
Laminate_01_Defect_0_at_03_w_1.20,1,0,3,1.2000000000000002,0.125,5,121.35921,4045.307,101.132675
Laminate_01_Defect_0_at_03_w_1.40,1,0,3,1.4,0.125,5,121.40468199999998,4046.822733333333,101.17056833333332
Laminate_01_Defect_0_at_03_w_1.60,1,0,3,1.6,0.125,5,121.45771,4048.5903333333335,101.21475833333334
Laminate_01_Defect_0_at_03_w_1.80,1,0,3,1.8,0.125,5,121.518197,4050.6065666666673,101.26516416666668
Laminate_01_Defect_0_at_03_w_2.00,1,0,3,2.0,0.125,5,121.585731,4052.8577,101.3214425
Laminate_01_Defect_0_at_03_w_2.20,1,0,3,2.2,0.125,5,121.660705,4055.356833333333,101.38392083333332
Laminate_01_Defect_0_at_04_w_0.00,1,0,4,0.0,0.125,5,121.250812,4041.6937333333335,101.04234333333332
Laminate_01_Defect_0_at_04_w_0.20,1,0,4,0.2,0.125,5,121.233913,4041.1304333333337,101.02826083333332
Laminate_01_Defect_0_at_04_w_0.40,1,0,4,0.4,0.125,5,121.249718,4041.6572666666666,101.04143166666664
